Period,Date,Long Date,Open,High,Low,Close,Upper Trend Channel,Trend Channel Pivot,Lower Trend Channel,Up Trends,New Uptrends,Down Trends,New Downtrends,Total Component Volume,Advances,Declines,Advancing Volume,Declining Volume,New Highs,New Lows,Issues Traded,Issues Unchanged,% above 200MA,% above 30MA,% above 18MA,% above 9MA,% above 4MA,Total Stks above 200MA,Total Stks below 200MA,Total Stks equal 200MA,Total Stks above 30MA,Total Stks below 30MA,Total Stks equal 30MA,Total Stks above 18MA,Total Stks below 18ma,Total Stks equal 18MA,Total Stks above 9MA,Total Stks below 9MA,Total Stks equal 9MA,Total Stks above 4MA,Total Stks below 4MA,Total Stks equal 4MA,New Highs - Quarter,New Lows - Quarter,New 1st Day Highs,New 1st Day Lows,New 1st Day Highs - Quarter,New 1st Day Lows - Quarter,Equal Weight Open Px,Equal Weight High Px,Equal Weight Low Px,Equal Weight Close Px,ETF Trade Volume,% above 50MA,Total Stks above 50MA,Total Stks below 50MA,Total Stks equal 50MA,Total Constituent Price Gains,Total Constituent Price Losses,FV8,FV9,FV10,FV11,FV12,FV13,FV14,FV15
D,20100304,3/4/10,10396.53027,10452.37988,10390.86035,10444.13965,10412.6674825,10248.8774425,10085.0874025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1657357,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100305,3/5/10,10445.12988,10571.94043,10445.0498,10566.2002,10453.2700225,10295.4499525,10137.6298825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1842694,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100308,3/8/10,10563.78027,10587.74023,10542.38965,10552.51953,10489.9047875,10347.62487875,10205.34497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1717832,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100309,3/9/10,10552.24023,10612.59961,10533.92969,10564.37988,10531.809815,10399.6661375,10267.52246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2198574,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100310,3/10/10,10560.12988,10601.79004,10526.51953,10567.33008,10562.6074225,10452.96618625,10343.32495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1865658,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100311,3/11/10,10560.98047,10611.83984,10507.16992,10611.83984,10574.0173325,10472.99243,10371.9675275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1499943,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100312,3/12/10,10611.76953,10644.9502,10594.83984,10624.69043,10592.0600575,10478.66003375,10365.26001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1661420,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100315,3/15/10,10623.41016,10644.19043,10570.50977,10642.15039,10611.502685,10486.03881875,10360.5749525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1605715,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100316,3/16/10,10642.53027,10693.99023,10621.90039,10685.98047,10641.1652825,10490.7052,10340.2451175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2274183,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,20100317,3/17/10,10686.36035,10767.98047,10686.36035,10733.66992,10671.6228025,10498.66894625,10325.71509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1941889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
